,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,19783 ktoe,0 ktoe,8492 ktoe,0 ktoe,2 ktoe,578 ktoe,2268 ktoe,0 ktoe,0 ktoe,31123 ktoe,Production
1,1,4516 ktoe,3960 ktoe,4844 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,278 ktoe,746 ktoe,4 ktoe,14349 ktoe,Imports
2,2,-94 ktoe,-15456 ktoe,-4054 ktoe,-3691 ktoe,0 ktoe,0 ktoe,0 ktoe,-58 ktoe,-993 ktoe,0 ktoe,-24347 ktoe,Exports
3,3,0 ktoe,0 ktoe,-751 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-751 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-802 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-802 ktoe,International aviation bunkers
5,5,-60 ktoe,-61 ktoe,176 ktoe,-167 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-112 ktoe,Stock changes
6,6,4362 ktoe,8226 ktoe,-587 ktoe,4634 ktoe,0 ktoe,2 ktoe,578 ktoe,2488 ktoe,-247 ktoe,4 ktoe,19460 ktoe,TPES
7,7,0 ktoe,-1 ktoe,7 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7 ktoe,Transfers
8,8,22 ktoe,48 ktoe,-26 ktoe,29 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,1 ktoe,72 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,-23 ktoe,0 ktoe,0 ktoe,-2 ktoe,-566 ktoe,-1 ktoe,573 ktoe,0 ktoe,-19 ktoe,Electricity plants
10,10,-4122 ktoe,-1 ktoe,-364 ktoe,-2234 ktoe,0 ktoe,0 ktoe,0 ktoe,-1210 ktoe,2903 ktoe,2526 ktoe,-2500 ktoe,CHP plants
11,11,-1 ktoe,0 ktoe,-42 ktoe,-74 ktoe,0 ktoe,0 ktoe,-3 ktoe,-447 ktoe,0 ktoe,587 ktoe,21 ktoe,Heat plants
12,12,15 ktoe,0 ktoe,0 ktoe,-15 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-8273 ktoe,8134 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-139 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-342 ktoe,-649 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,-237 ktoe,-39 ktoe,-1267 ktoe,Energy industry own use
18,18,-1 ktoe,0 ktoe,0 ktoe,-3 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-156 ktoe,-617 ktoe,-776 ktoe,Losses
19,19,276 ktoe,0 ktoe,6758 ktoe,1688 ktoe,0 ktoe,0 ktoe,8 ktoe,831 ktoe,2835 ktoe,2461 ktoe,14857 ktoe,Total final consumption
20,20,230 ktoe,0 ktoe,804 ktoe,714 ktoe,0 ktoe,0 ktoe,0 ktoe,116 ktoe,858 ktoe,163 ktoe,2884 ktoe,Industry
21,21,0 ktoe,0 ktoe,4360 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,32 ktoe,0 ktoe,4392 ktoe,Transport
22,22,13 ktoe,0 ktoe,653 ktoe,701 ktoe,0 ktoe,0 ktoe,7 ktoe,601 ktoe,888 ktoe,1536 ktoe,4400 ktoe,Residential
23,23,1 ktoe,0 ktoe,120 ktoe,207 ktoe,0 ktoe,0 ktoe,1 ktoe,60 ktoe,894 ktoe,716 ktoe,2000 ktoe,Commercial and public services
24,24,32 ktoe,0 ktoe,341 ktoe,54 ktoe,0 ktoe,0 ktoe,0 ktoe,53 ktoe,163 ktoe,47 ktoe,690 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,176 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,176 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,13 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,13 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,303 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,303 ktoe,Non-energy use
